Memory		Disk		CPU
total used free shared buff/cache available Mem: 990 332 222 2 435 498 Swap: 0 0 0
Filesystem Size Used Avail Use% Mounted on udev 488M 0 488M 0% /dev tmpfs 100M 3.0M 97M 3% /run /dev/xvda1 7.7G 2.0G 5.7G 27% / tmpfs 496M 0 496M 0% /dev/shm tmpfs 5.0M 0 5.0M 0% /run/lock tmpfs 496M 0 496M 0% /sys/fs/cgroup tmpfs 100M 0 100M 0% /run/user/1000
33.64%		27%		0.00%		
33.64%		27%		0.00%		
33.64%		27%		0.00%		
33.64%		27%		0.00%		
33.64%		27%		0.00%		
33.64%		27%		0.00%		
33.64%		27%		0.00%		
33.64%		27%		0.00%		
33.64%		27%		0.00%		
33.64%		27%		0.00%		
33.84%		27%		0.00%		
33.84%		27%		0.40%		
34.24%		27%		0.40%		
34.24%		27%		0.40%		
34.24%		27%		0.40%		
34.24%		27%		0.40%		
34.24%		27%		0.40%		
34.24%		27%		0.40%		
34.24%		27%		0.40%		
34.24%		27%		0.40%		
34.24%		27%		0.40%		
34.24%		27%		0.40%		
34.24%		27%		0.40%		
34.24%		27%		0.40%		
34.24%		27%		0.40%		
34.24%		27%		0.40%		
34.24%		27%		0.45%		
34.24%		27%		0.45%		
34.24%		27%		0.45%		
34.24%		27%		0.45%		
34.24%		27%		0.45%		
34.24%		27%		0.45%		
34.24%		27%		0.45%		
34.24%		27%		0.45%		
34.24%		27%		0.45%		
34.24%		27%		0.45%		
34.24%		27%		0.45%		
34.24%		27%		0.45%		
34.44%		27%		0.45%		
34.44%		27%		0.45%		
34.44%		27%		0.41%		
34.44%		27%		0.41%		
34.44%		27%		0.41%		
34.44%		27%		0.41%		
34.44%		27%		0.41%		
34.44%		27%		0.41%		
34.44%		27%		0.41%		
34.55%		27%		0.41%		
34.44%		27%		0.41%		
34.55%		27%		0.41%		
34.44%		27%		0.41%		
34.44%		27%		0.41%		
34.44%		27%		0.41%		
34.44%		27%		0.41%		
34.55%		27%		0.41%		
34.44%		27%		0.38%		
34.44%		27%		0.38%		
34.44%		27%		0.38%		
34.55%		27%		0.38%		
34.55%		27%		0.38%		
34.55%		27%		0.38%		
34.44%		27%		0.38%		
34.55%		27%		0.38%		
34.55%		27%		0.38%		
34.55%		27%		0.38%		
34.55%		27%		0.38%		
34.75%		27%		0.38%		
34.75%		27%		0.38%		
34.75%		27%		0.38%		
34.75%		27%		0.38%		
34.75%		27%		0.51%		
34.75%		27%		0.51%		
34.75%		27%		0.51%		
34.75%		27%		0.51%		
34.75%		27%		0.51%		
34.75%		27%		0.51%		
34.75%		27%		0.51%		
34.75%		27%		0.51%		
34.75%		27%		0.51%		
34.75%		27%		0.51%		
34.75%		27%		0.51%		
34.75%		27%		0.51%		
34.75%		27%		0.51%		
34.75%		27%		0.51%		
34.75%		27%		0.51%		
34.75%		27%		0.63%		
34.75%		27%		0.63%		
34.75%		27%		0.63%		
34.75%		27%		0.63%		
34.75%		27%		0.63%		
34.75%		27%		0.63%		
34.75%		27%		0.63%		
34.75%		27%		0.63%		
34.75%		27%		0.63%		
34.75%		27%		0.63%		
34.95%		27%		0.63%		
34.95%		27%		0.63%		
34.95%		27%		0.63%		
34.95%		27%		0.63%		
34.95%		27%		0.63%		
34.95%		27%		0.66%		
34.95%		27%		0.66%		
34.95%		27%		0.66%		
34.95%		27%		0.66%		
34.95%		27%		0.66%		
34.95%		27%		0.66%		
34.95%		27%		0.66%		
34.95%		27%		0.66%		
34.95%		27%		0.66%		
34.95%		27%		0.66%		
34.95%		27%		0.66%		
34.95%		27%		0.66%		
34.95%		27%		0.66%		
34.95%		27%		0.66%		
34.95%		27%		0.66%		
34.95%		27%		0.77%		
34.95%		27%		0.77%		
34.95%		27%		0.77%		
34.95%		27%		0.77%		
34.95%		27%		0.77%		
34.95%		27%		0.77%		
34.95%		27%		0.77%		
34.95%		27%		0.77%		
34.95%		27%		0.77%		
35.15%		27%		0.77%		
35.15%		27%		0.77%		
35.25%		27%		0.77%		
35.15%		27%		0.77%		
35.15%		27%		0.77%		
35.15%		27%		0.77%		
35.15%		27%		0.87%		
35.15%		27%		0.87%		
35.15%		27%		0.87%		
35.15%		27%		0.87%		
35.15%		27%		0.87%		
35.15%		27%		0.87%		
35.15%		27%		0.87%		
35.15%		27%		0.87%		
35.25%		27%		0.87%		
35.15%		27%		0.87%		
35.15%		27%		0.87%		
35.15%		27%		0.87%		
35.15%		27%		0.87%		
35.15%		27%		0.87%		
35.15%		27%		0.80%		
35.15%		27%		0.80%		
35.15%		27%		0.80%		
35.15%		27%		0.80%		
35.15%		27%		0.80%		
35.15%		27%		0.80%		
35.25%		27%		0.80%		
35.25%		27%		0.80%		
35.25%		27%		0.80%		
35.25%		27%		0.80%		
35.25%		27%		0.80%		
35.25%		27%		0.80%		
35.25%		27%		0.80%		
35.25%		27%		0.80%		
35.25%		27%		0.81%		
35.25%		27%		0.81%		
35.25%		27%		0.81%		
35.25%		27%		0.81%		
35.25%		27%		0.81%		
35.25%		27%		0.81%		
35.35%		27%		0.81%		
35.35%		27%		0.81%		
35.45%		27%		0.81%		
35.35%		27%		0.81%		
35.35%		27%		0.81%		
35.35%		27%		0.81%		
35.35%		27%		0.75%		
35.35%		27%		0.75%		
35.35%		27%		0.75%		
35.35%		27%		0.75%		
35.56%		27%		0.75%		
35.56%		27%		0.75%		
35.56%		27%		0.75%		
35.56%		27%		0.75%		
35.56%		27%		0.75%		
35.56%		27%		0.75%		
35.56%		27%		0.75%		
35.56%		27%		0.75%		
35.56%		27%		0.75%		
35.56%		27%		0.69%		
35.56%		27%		0.69%		
35.56%		27%		0.69%		
35.56%		27%		0.69%		
35.56%		27%		0.69%		
35.56%		27%		0.69%		
35.56%		27%		0.69%		
35.56%		27%		0.69%		
35.56%		27%		0.69%		
35.56%		27%		0.69%		
35.56%		27%		0.69%		
35.56%		27%		0.69%		
35.56%		27%		0.69%		
35.56%		27%		0.69%		
35.56%		27%		0.71%		
35.56%		27%		0.71%		
35.56%		27%		0.71%		
35.56%		27%		0.71%		
35.56%		27%		0.71%		
35.56%		27%		0.71%		
35.76%		27%		0.71%		
35.76%		27%		0.71%		
35.76%		27%		0.71%		
35.76%		27%		0.71%		
35.76%		27%		0.71%		
35.76%		27%		0.71%		
35.76%		27%		0.71%		
35.76%		27%		0.74%		
35.76%		27%		0.74%		
35.76%		27%		0.74%		
35.76%		27%		0.74%		
35.76%		27%		0.74%		
35.76%		27%		0.74%		
35.86%		27%		0.74%		
35.76%		27%		0.74%		
35.76%		27%		0.74%		
35.76%		27%		0.74%		
35.76%		27%		0.74%		
35.76%		27%		0.74%		
35.76%		27%		0.74%		
35.76%		27%		0.74%		
35.76%		27%		0.68%		
35.76%		27%		0.68%		
35.76%		27%		0.68%		
35.76%		27%		0.68%		
35.76%		27%		0.68%		
35.76%		27%		0.68%		
35.96%		27%		0.68%		
35.96%		27%		0.68%		
35.96%		27%		0.68%		
35.96%		27%		0.68%		
35.96%		27%		0.68%		
35.96%		27%		0.68%		
35.96%		27%		0.68%		
35.96%		27%		0.70%		
35.96%		27%		0.70%		
35.96%		27%		0.70%		
35.96%		27%		0.70%		
35.96%		27%		0.70%		
35.96%		27%		0.70%		
35.96%		27%		0.70%		
35.96%		27%		0.70%		
35.96%		27%		0.70%		
35.96%		27%		0.70%		
35.96%		27%		0.70%		
35.96%		27%		0.70%		
35.96%		27%		0.70%		
35.96%		27%		0.65%		
35.96%		27%		0.65%		
35.96%		27%		0.65%		
35.96%		27%		0.65%		
35.96%		27%		0.65%		
35.96%		27%		0.65%		
35.96%		27%		0.65%		
35.96%		27%		0.65%		
35.96%		27%		0.65%		
35.96%		27%		0.65%		
35.96%		27%		0.65%		
36.16%		27%		0.65%		
36.16%		27%		0.65%		
36.16%		27%		0.65%		
36.16%		27%		0.68%		
36.16%		27%		0.68%		
36.16%		27%		0.68%		
36.16%		27%		0.68%		
36.16%		27%		0.68%		
36.16%		27%		0.68%		
36.16%		27%		0.68%		
36.16%		27%		0.68%		
36.16%		27%		0.68%		
36.16%		27%		0.68%		
36.16%		27%		0.68%		
36.16%		27%		0.68%		
36.16%		27%		0.68%		
36.16%		27%		0.62%		
36.16%		27%		0.62%		
36.16%		27%		0.62%		
36.16%		27%		0.62%		
36.16%		27%		0.62%		
36.16%		27%		0.62%		
36.16%		27%		0.62%		
36.16%		27%		0.62%		
36.16%		27%		0.62%		
36.16%		27%		0.62%		
36.16%		27%		0.62%		
36.16%		27%		0.62%		
36.36%		27%		0.62%		
36.36%		27%		0.62%		
36.36%		27%		0.65%		
36.36%		27%		0.65%		
36.36%		27%		0.65%		
36.36%		27%		0.65%		
36.36%		27%		0.65%		
36.36%		27%		0.65%		
36.36%		27%		0.65%		
36.36%		27%		0.65%		
36.36%		27%		0.65%		
36.36%		27%		0.65%		
36.36%		27%		0.65%		
36.36%		27%		0.65%		
36.36%		27%		0.65%		
36.36%		27%		0.68%		
36.36%		27%		0.68%		
36.36%		27%		0.68%		
36.36%		27%		0.68%		
36.36%		27%		0.68%		
36.36%		27%		0.68%		
36.36%		27%		0.68%		
36.36%		27%		0.68%		
36.36%		27%		0.68%		
36.36%		27%		0.68%		
36.36%		27%		0.68%		
36.36%		27%		0.68%		
36.36%		27%		0.68%		
36.36%		27%		0.68%		
36.36%		27%		0.71%		
36.36%		27%		0.71%		
36.36%		27%		0.71%		
36.36%		27%		0.71%		
36.36%		27%		0.71%		
36.36%		27%		0.71%		
36.36%		27%		0.71%		
36.36%		27%		0.71%		
36.36%		27%		0.71%		
36.36%		27%		0.71%		
36.46%		27%		0.71%		
36.46%		27%		0.71%		
36.46%		27%		0.71%		
36.46%		27%		0.73%		
36.46%		27%		0.73%		
36.46%		27%		0.73%		
36.46%		27%		0.73%		
36.46%		27%		0.73%		
36.46%		27%		0.73%		
36.46%		27%		0.73%		
36.46%		27%		0.73%		
36.46%		27%		0.73%		
36.46%		27%		0.73%		
36.67%		27%		0.73%		
36.67%		27%		0.73%		
36.67%		27%		0.73%		
36.67%		27%		0.75%		
36.67%		27%		0.75%		
36.67%		27%		0.75%		
36.67%		27%		0.75%		
36.67%		27%		0.75%		
36.67%		27%		0.75%		
36.67%		27%		0.75%		
36.67%		27%		0.75%		
36.67%		27%		0.75%		
36.67%		27%		0.75%		
36.67%		27%		0.75%		
36.67%		27%		0.75%		
36.67%		27%		0.75%		
36.67%		27%		0.75%		
36.67%		27%		0.77%		
36.67%		27%		0.77%		
36.67%		27%		0.77%		
36.67%		27%		0.77%		
36.67%		27%		0.77%		
36.67%		27%		0.77%		
36.67%		27%		0.77%		
36.67%		27%		0.77%		
36.87%		27%		0.77%		
36.97%		27%		0.77%		
36.87%		27%		0.77%		
36.87%		27%		0.77%		
36.87%		27%		0.77%		
36.87%		27%		0.71%		
36.87%		27%		0.71%		
36.87%		27%		0.71%		
36.87%		27%		0.71%		
36.87%		27%		0.71%		
36.87%		27%		0.71%		
36.97%		27%		0.71%		
36.87%		27%		0.71%		
36.87%		27%		0.71%		
36.97%		27%		0.71%		
36.87%		27%		0.71%		
36.87%		27%		0.71%		
36.97%		27%		0.71%		
36.87%		27%		0.73%		
36.87%		27%		0.73%		
36.87%		27%		0.73%		
36.87%		27%		0.73%		
36.87%		27%		0.73%		
36.97%		27%		0.73%		
36.87%		27%		0.73%		
36.87%		27%		0.73%		
36.87%		27%		0.73%		
36.97%		27%		0.73%		
36.87%		27%		0.73%		
36.87%		27%		0.73%		
36.87%		27%		0.73%		
37.07%		27%		0.67%		
37.07%		27%		0.67%		
37.17%		27%		0.67%		
37.07%		27%		0.67%		
37.07%		27%		0.67%		
37.07%		27%		0.67%		
37.07%		27%		0.67%		
37.07%		27%		0.67%		
37.07%		27%		0.67%		
37.17%		27%		0.67%		
37.07%		27%		0.67%		
37.07%		27%		0.67%		
37.07%		27%		0.67%		
37.07%		27%		0.67%		
37.07%		27%		0.70%		
